2025-09-15 15:35:16 - INFO - Overhead Press Rep 1: Correct, Avg Elbow Angle: 142.1°, Min: 103.6°, Max: 168.9°, Avg Arm Angle: 22.0°, Avg Torso Angle: 1.2°, Hip Y Change: 63.7 pixels, Correct Reps: 0, Incorrect Reps: 1, Errors: Short press: max elbow 168.9° < 170°
2025-09-15 15:35:16 - DEBUG - Overhead Press Feedback: Raise arms higher
2025-09-15 15:35:19 - INFO - Overhead Press Rep 2: Correct, Avg Elbow Angle: 120.2°, Min: 79.8°, Max: 168.7°, Avg Arm Angle: 25.6°, Avg Torso Angle: 0.8°, Hip Y Change: 85.0 pixels, Correct Reps: 0, Incorrect Reps: 2, Errors: Short press: max elbow 168.7° < 170°
2025-09-15 15:35:19 - DEBUG - Overhead Press Feedback: Raise arms higher
2025-09-15 15:35:22 - INFO - Overhead Press Rep 3: Correct, Avg Elbow Angle: 129.1°, Min: 81.3°, Max: 170.8°, Avg Arm Angle: 24.7°, Avg Torso Angle: 1.0°, Hip Y Change: 70.2 pixels, Correct Reps: 1, Incorrect Reps: 2
2025-09-15 15:35:22 - DEBUG - Overhead Press Feedback: Great job!
2025-09-15 15:35:27 - INFO - Overhead Press Rep 4: Correct, Avg Elbow Angle: 121.0°, Min: 78.6°, Max: 170.4°, Avg Arm Angle: 25.9°, Avg Torso Angle: 1.1°, Hip Y Change: 60.5 pixels, Correct Reps: 2, Incorrect Reps: 2
2025-09-15 15:35:27 - DEBUG - Overhead Press Feedback: Great job!
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=175.5°, Prev=175.4°, Direction=increasing, Frames Since Rep=1
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=175.7°, Prev=175.5°, Direction=increasing, Frames Since Rep=2
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=176.0°, Prev=175.7°, Direction=increasing, Frames Since Rep=3
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=176.1°, Prev=176.0°, Direction=increasing, Frames Since Rep=4
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=176.5°, Prev=176.1°, Direction=increasing, Frames Since Rep=5
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=176.9°, Prev=176.5°, Direction=increasing, Frames Since Rep=6
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=177.2°, Prev=176.9°, Direction=increasing, Frames Since Rep=7
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=177.5°, Prev=177.2°, Direction=increasing, Frames Since Rep=8
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=177.9°, Prev=177.5°, Direction=increasing, Frames Since Rep=9
2025-09-15 15:36:11 - DEBUG - Bicep Curl: Smoothed Elbow=178.1°, Prev=177.9°, Direction=increasing, Frames Since Rep=10
2025-09-15 15:36:12 - DEBUG - Bicep Curl: Smoothed Elbow=178.4°, Prev=178.1°, Direction=increasing, Frames Since Rep=11
2025-09-15 15:36:12 - DEBUG - Bicep Curl: Smoothed Elbow=178.5°, Prev=178.4°, Direction=increasing, Frames Since Rep=12
2025-09-15 15:36:12 - DEBUG - Bicep Curl: Smoothed Elbow=178.6°, Prev=178.5°, Direction=increasing, Frames Since Rep=13
2025-09-15 15:36:12 - DEBUG - Bicep Curl: Smoothed Elbow=178.7°, Prev=178.6°, Direction=increasing, Frames Since Rep=14
